"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","test_register_wrong_username","tests","Tue Jul 14 09:01:24 UTC 2026","passed","Tue Jul 14 09:01:24 UTC 2026","TestRegisterContract","test_register_contract","",""
"","4","test_validation_login_wrong","tests","Tue Jul 14 09:01:23 UTC 2026","passed","Tue Jul 14 09:01:23 UTC 2026","TestRegisterContract","test_login_contract","",""
"","52","test_get_grade","tests","Tue Jul 14 09:01:17 UTC 2026","passed","Tue Jul 14 09:01:17 UTC 2026","TestGrade","test_grade","",""
"","615","test_get_grade_stats_student","tests","Tue Jul 14 09:01:20 UTC 2026","passed","Tue Jul 14 09:01:21 UTC 2026","TestGrade","test_grade","",""
"","5","test_invalid_login_wrong","tests","Tue Jul 14 09:01:23 UTC 2026","passed","Tue Jul 14 09:01:23 UTC 2026","TestRegisterContract","test_login_contract","",""
"","594","test_get_grade_stats_group","tests","Tue Jul 14 09:01:19 UTC 2026","passed","Tue Jul 14 09:01:20 UTC 2026","TestGrade","test_grade","",""
"","3","test_register_wrong_email","tests","Tue Jul 14 09:01:24 UTC 2026","passed","Tue Jul 14 09:01:24 UTC 2026","TestRegisterContract","test_register_contract","",""
"","4","test_register_wrong_longer_password","tests","Tue Jul 14 09:01:24 UTC 2026","passed","Tue Jul 14 09:01:24 UTC 2026","TestRegisterContract","test_register_contract","",""
"","3","test_register_wrong_digits_password","tests","Tue Jul 14 09:01:24 UTC 2026","passed","Tue Jul 14 09:01:24 UTC 2026","TestRegisterContract","test_register_contract","",""
"","4","test_register_wrong_password_repeat","tests","Tue Jul 14 09:01:24 UTC 2026","passed","Tue Jul 14 09:01:24 UTC 2026","TestRegisterContract","test_register_contract","",""
"","276","test_register_success","tests","Tue Jul 14 09:01:24 UTC 2026","passed","Tue Jul 14 09:01:24 UTC 2026","TestRegisterContract","test_register_contract","",""
"","60","test_grade_create","tests","Tue Jul 14 09:01:16 UTC 2026","passed","Tue Jul 14 09:01:16 UTC 2026","TestGrade","test_grade","",""
"","6","test_me_success","tests","Tue Jul 14 09:01:23 UTC 2026","passed","Tue Jul 14 09:01:23 UTC 2026","TestMeContract","test_me_contract","",""
"","3","test_register_wrong_chars_password","tests","Tue Jul 14 09:01:24 UTC 2026","passed","Tue Jul 14 09:01:24 UTC 2026","TestRegisterContract","test_register_contract","",""
"","598","test_get_grade_stats_teacher","tests","Tue Jul 14 09:01:22 UTC 2026","passed","Tue Jul 14 09:01:22 UTC 2026","TestGrade","test_grade","",""
"","3","test_me_not_authorized","tests","Tue Jul 14 09:01:24 UTC 2026","skipped","Tue Jul 14 09:01:24 UTC 2026","TestMeContract","test_me_contract","",""
"","632","test_login_success","tests","Tue Jul 14 09:01:22 UTC 2026","passed","Tue Jul 14 09:01:23 UTC 2026","TestRegisterContract","test_login_contract","",""
"","610","test_get_grade_stats","tests","Tue Jul 14 09:01:18 UTC 2026","passed","Tue Jul 14 09:01:18 UTC 2026","TestGrade","test_grade","",""
"","3","test_register_wrong_shorter_password","tests","Tue Jul 14 09:01:24 UTC 2026","passed","Tue Jul 14 09:01:24 UTC 2026","TestRegisterContract","test_register_contract","",""
"","4","test_register_wrong_none_password","tests","Tue Jul 14 09:01:24 UTC 2026","passed","Tue Jul 14 09:01:24 UTC 2026","TestRegisterContract","test_register_contract","",""
